epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1208.51,0.45591,0.38392,0.96777,0.95883,0.95119,0.95915,0.91444,0.35662,0.291,0.84383,0.000295693,0.000295693,0.000295693
73,1224.94,0.42341,0.37414,0.95257,0.95584,0.94625,0.95834,0.91364,0.35183,0.2843,0.84513,0.000294647,0.000294647,0.000294647
74,1241.44,0.42903,0.40421,0.95285,0.95584,0.94625,0.95834,0.91364,0.35183,0.2843,0.84513,0.0002936,0.0002936,0.0002936
75,1257.78,0.42989,0.3907,0.94986,0.95469,0.94871,0.95837,0.91535,0.33604,0.28095,0.84241,0.000292554,0.000292554,0.000292554
76,1274.13,0.44834,0.40054,0.98299,0.96163,0.94774,0.95849,0.92048,0.32334,0.27164,0.83448,0.000291507,0.000291507,0.000291507
77,1290.81,0.43793,0.40151,0.96751,0.96163,0.94774,0.95849,0.92048,0.32334,0.27164,0.83448,0.000290461,0.000290461,0.000290461
78,1307.59,0.43506,0.40475,0.97745,0.97448,0.94394,0.95729,0.91681,0.3376,0.27706,0.83935,0.000289414,0.000289414,0.000289414
79,1323.89,0.41921,0.38097,0.94008,0.97448,0.94394,0.95729,0.91681,0.3376,0.27706,0.83935,0.000288367,0.000288367,0.000288367
80,1340.3,0.42742,0.37973,0.94282,0.97295,0.9454,0.95625,0.91413,0.3403,0.27516,0.83732,0.000287321,0.000287321,0.000287321
81,1356.71,0.44742,0.38033,0.96901,0.96717,0.94837,0.9594,0.9151,0.3383,0.26763,0.83391,0.000286274,0.000286274,0.000286274
82,1373,0.41117,0.36922,0.9425,0.96717,0.94837,0.9594,0.9151,0.3383,0.26763,0.83391,0.000285228,0.000285228,0.000285228
83,1389.36,0.42174,0.36267,0.95147,0.96499,0.9493,0.96073,0.91743,0.34418,0.27347,0.83526,0.000284181,0.000284181,0.000284181
84,1405.68,0.43773,0.39692,0.97561,0.96806,0.95157,0.96091,0.91718,0.33779,0.26276,0.83835,0.000283135,0.000283135,0.000283135
85,1422.09,0.43851,0.37261,0.96944,0.96806,0.95157,0.96091,0.91718,0.33779,0.26276,0.83835,0.000282088,0.000282088,0.000282088
86,1438.61,0.45729,0.39497,0.97381,0.96259,0.95244,0.95995,0.91806,0.32865,0.26365,0.83816,0.000281041,0.000281041,0.000281041
87,1454.93,0.43522,0.37398,0.9562,0.96259,0.95244,0.95995,0.91806,0.32865,0.26365,0.83816,0.000279995,0.000279995,0.000279995
88,1471.37,0.42727,0.37557,0.95072,0.96626,0.9495,0.96015,0.92294,0.31706,0.2587,0.83254,0.000278948,0.000278948,0.000278948
89,1488.13,0.3989,0.35333,0.91315,0.94751,0.95224,0.95893,0.92348,0.32969,0.27545,0.83013,0.000277902,0.000277902,0.000277902
90,1504.76,0.43919,0.38145,0.96037,0.94751,0.95224,0.95893,0.92348,0.32969,0.27545,0.83013,0.000276855,0.000276855,0.000276855
91,1521.48,0.43711,0.3772,0.9501,0.95169,0.94671,0.9574,0.91677,0.32429,0.27467,0.82722,0.000275809,0.000275809,0.000275809
92,1537.82,0.44012,0.39272,0.97161,0.97075,0.94983,0.95746,0.91762,0.33071,0.27273,0.82842,0.000274762,0.000274762,0.000274762
93,1554.2,0.43888,0.38278,0.95886,0.97075,0.94983,0.95746,0.91762,0.33071,0.27273,0.82842,0.000273715,0.000273715,0.000273715
94,1570.66,0.42202,0.36496,0.92906,0.95364,0.95871,0.96086,0.9232,0.33337,0.2648,0.83341,0.000272669,0.000272669,0.000272669
